Upravna enota,Vsota vseh vozil (PLDP)
AJDOVŠČINA,172945
BREŽICE,124836
CELJE,259789
CERKNICA,51574
DOMŽALE,255865
DRAVOGRAD,14561
GORNJA RADGONA,72992
GROSUPLJE,104091
HRASTNIK,4738
IDRIJA,15034
ILIRSKA BISTRICA,54218
IZOLA,50455
JESENICE,177242
KAMNIK,75693
KOPER,171780
KOČEVJE,73363
KRANJ,345076
KRŠKO,102195
LAŠKO,120640
LENART,88912
LENDAVA,101728
LITIJA,46032
LJUBLJANA,999007
LJUTOMER,40102
LOGATEC,92189
MARIBOR,260112
METLIKA,21229
MOZIRJE,82567
MURSKA SOBOTA,209733
NOVA GORICA,328502
NOVO MESTO,215561
ORMOŽ,27372
PESNICA,123354
PIRAN,20738
POSTOJNA,168998
PTUJ,276196
RADLJE OB DRAVI,77974
RADOVLJICA,149213
RAVNE NA KOROŠKEM,35975
RIBNICA,34308
RUŠE,4362
SEVNICA,90427
SEŽANA,266964
SLOVENJ GRADEC,47592
SLOVENSKA BISTRICA,180832
SLOVENSKE KONJICE,61705
TOLMIN,93743
TRBOVLJE,36004
TREBNJE,39488
TRŽIČ,40997
VELENJE,138297
VRHNIKA,164940
ZAGORJE OB SAVI,28201
nan,9496
ČRNOMELJ,55036
ŠENTJUR PRI CELJU,54877
ŠKOFJA LOKA,121899
ŠMARJE PRI JELŠAH,92185
ŽALEC,366226
